RegionName,Date,HomePrice
Inyo County,2000-09-30,
Mariposa County,2000-09-30,
Trinity County,2000-09-30,
Mono County,2000-09-30,
Modoc County,2000-09-30,
Sierra County,2000-09-30,
Alpine County,2000-09-30,
Los Angeles County,2000-10-31,226744.7253008728
San Diego County,2000-10-31,241195.43605570387
Orange County,2000-10-31,284987.33258031594
Riverside County,2000-10-31,165714.64895779104
San Bernardino County,2000-10-31,136165.50867116897
Santa Clara County,2000-10-31,474031.8149060541
Alameda County,2000-10-31,325391.8272670792
Sacramento County,2000-10-31,159199.64748577544
Contra Costa County,2000-10-31,309778.22305832355
Fresno County,2000-10-31,110654.6389829376
Kern County,2000-10-31,97540.11739984356
San Francisco County,2000-10-31,447724.4297461692
Ventura County,2000-10-31,282217.83846228424
San Joaquin County,2000-10-31,174145.77585129053
San Mateo County,2000-10-31,490221.1110465273
Stanislaus County,2000-10-31,155460.85513338636
Sonoma County,2000-10-31,287944.9201452947
Tulare County,2000-10-31,104584.0014790035
Solano County,2000-10-31,218805.18649829572
Santa Barbara County,2000-10-31,260155.37993252315
Monterey County,2000-10-31,279389.2648963838
Placer County,2000-10-31,259285.68745524116
San Luis Obispo County,2000-10-31,220380.21799227464
Merced County,2000-10-31,
Santa Cruz County,2000-10-31,324227.8460925222
Marin County,2000-10-31,499877.09812718304
Butte County,2000-10-31,
Yolo County,2000-10-31,190456.14414649425
El Dorado County,2000-10-31,224956.4033483211
Shasta County,2000-10-31,108085.2055586223
Imperial County,2000-10-31,
Madera County,2000-10-31,
Kings County,2000-10-31,
Napa County,2000-10-31,266024.53911600943
Humboldt County,2000-10-31,
Nevada County,2000-10-31,
Sutter County,2000-10-31,
Mendocino County,2000-10-31,
Yuba County,2000-10-31,
Lake County,2000-10-31,
Tehama County,2000-10-31,
San Benito County,2000-10-31,
Tuolumne County,2000-10-31,
Calaveras County,2000-10-31,
Siskiyou County,2000-10-31,
Amador County,2000-10-31,
Lassen County,2000-10-31,
Glenn County,2000-10-31,
Del Norte County,2000-10-31,
Colusa County,2000-10-31,
Plumas County,2000-10-31,
Inyo County,2000-10-31,
Mariposa County,2000-10-31,
Trinity County,2000-10-31,
Mono County,2000-10-31,
Modoc County,2000-10-31,
Sierra County,2000-10-31,
Alpine County,2000-10-31,
Los Angeles County,2000-11-30,228265.20964114284
San Diego County,2000-11-30,244336.75527366868
Orange County,2000-11-30,287885.69230889546
Riverside County,2000-11-30,167330.4677269129
San Bernardino County,2000-11-30,137146.06214120288
Santa Clara County,2000-11-30,485433.877150832
Alameda County,2000-11-30,331345.35966428794
Sacramento County,2000-11-30,161513.3767560531
Contra Costa County,2000-11-30,314406.84915468487
Fresno County,2000-11-30,111086.82511436655
Kern County,2000-11-30,97903.06260748937
San Francisco County,2000-11-30,456832.810322712
Ventura County,2000-11-30,285668.5928361775
San Joaquin County,2000-11-30,177193.1808974828
San Mateo County,2000-11-30,499103.18788300565
Stanislaus County,2000-11-30,158399.39656623758
Sonoma County,2000-11-30,294173.558811156
Tulare County,2000-11-30,103571.86173014074
Solano County,2000-11-30,222720.39123069405
Santa Barbara County,2000-11-30,263381.1942219638
Monterey County,2000-11-30,284851.8760398708
Placer County,2000-11-30,262813.0296408197
San Luis Obispo County,2000-11-30,224089.5153543575
Merced County,2000-11-30,
Santa Cruz County,2000-11-30,331368.0533036595
Marin County,2000-11-30,507383.4810453018
Butte County,2000-11-30,
Yolo County,2000-11-30,193093.58272107356
El Dorado County,2000-11-30,228655.73308520744
Shasta County,2000-11-30,107452.57614182084
Imperial County,2000-11-30,
Madera County,2000-11-30,
Kings County,2000-11-30,
Napa County,2000-11-30,270641.0082592807
Humboldt County,2000-11-30,
Nevada County,2000-11-30,
Sutter County,2000-11-30,
